region_int,continent
Total_unspecified_and_unknown_locations,unknown
Offshore_installations_not_elsewhere_specified,unknown
Aggregates_extraction_areas_not_elsewhere_specified_and_other_activities_not_elsewhere_specified,unknown
Unknown,unknown
Cook_Islands_(NZ),pacific
Kiribati,pacific
Marshall_Islands,pacific
New_Caledonia_(FR),pacific
New_Zealand,pacific
Northern_Mariana_Islands_(US),pacific
Wallis_and_Futuna_(FR),pacific
Belgium,europe
Bulgaria,europe
Denmark,denmark
Germany,europe
Germany_North_Sea,europe
Germany_Baltic_Sea,europe
Germany_Rhine,europe
Germany_unspecified_maritime_coastal_area,europe
Estonia,europe
Ireland,europe
Greece,europe
Spain,europe
Spain_North_Atlantic,europe
Spain_Mediterranean_and_South_Atlantic,europe
Spain_Ceuta,europe
Spain_unspecified_maritime_coastal_area,europe
France,europe
France_Atlantic_North_Sea,europe
France_Mediterranean,europe
France_unspecified_maritime_coastal_area,europe
Croatia,europe
Italy,europe
Cyprus,europe
Latvia,europe
Lithuania,europe
Malta,europe
Netherlands,europe
Poland,europe
Portugal,europe
Romania,europe
Finland,europe
Sweden,europe
Sweden_Baltic_Sea,europe
Sweden_North_Sea,europe
Sweden_unspecified_maritime_coastal_area,europe
United_Kingdom,europe
United_Kingdom_Great_Britain_and_Northern_Ireland,europe
United_Kingdom_Guernsey_and_Jersey_(Channel_Islands),europe
United_Kingdom_unspecified_maritime_coastal_area,europe
Iceland,europe
Norway,europe
Montenegro,europe
Albania,europe
Bosnia_and_Herzegovina,europe
Faeroe_Islands_(DK),europe
Monaco,europe
Russia_Baltic_Sea_(Gulf_of_Finland_only),europe
Russia_Baltic_Sea_(excluding_Gulf_of_Finland),europe
Russia_European_inland_waterways_including_Caspian_Sea,europe
Ukraine,europe
Greenland_(DK),europe
Australia,australia
Turkey,asia-w
Turkey_Black_Sea,asia-w
Turkey_Mediterranean,asia-w
Turkey_unspecified_maritime_coastal_area,asia-w
Russia,asia-w
Russia_Black_Sea,asia-w
Russia_Baltic_Sea_(unspecified),asia-w
Russia_Asia,asia-w
Russia_Barents_and_White_Sea,asia-w
Russia_unspecified_maritime_coastal_area,asia-w
Azerbaijan,asia-w
Bahrain,asia-w
Georgia,asia-w
Iran,asia-w
Iraq,asia-w
Israel,asia-w
Israel_Mediterranean,asia-w
Jordan,asia-w
Kuwait,asia-w
Lebanon,asia-w
Oman,asia-w
Pakistan,asia-w
Qatar,asia-w
Saudi_Arabia,asia-w
Saudi_Arabia_Red_Sea,asia-w
Saudi_Arabia_Gulf,asia-w
Saudi_Arabia_unspecified_maritime_coastal_area,asia-w
Syria,asia-w
United_Arab_Emirates,asia-w
Yemen,asia-w
Bangladesh,asia-e
China_(except_Hong_Kong),asia-e
Hong_Kong,asia-e
India,asia-e
Indonesia,asia-e
Japan,asia-e
Malaysia,asia-e
Maldives,asia-e
North_Korea,asia-e
Philippines,asia-e
Singapore,asia-e
South_Korea,asia-e
Sri_Lanka,asia-e
Taiwan,asia-e
Thailand,asia-e
Turkmenistan,asia-e
Vietnam,asia-e
Papua_New_Guinea,asia-e
Argentina,america-s
Brazil,america-s
Chile,america-s
Colombia,america-s
Colombia_North_Coast,america-s
Colombia_West_Coast,america-s
Colombia_unspecified_maritime_coastal_area,america-s
Ecuador,america-s
Guyana,america-s
Peru,america-s
Suriname,america-s
Uruguay,america-s
US_Virgin_Islands_(US),america-s
Venezuela,america-s
South_Georgia_and_the_South_Sandwich_Islands_(UK),america-s
Canada,america-n
Canada_Atlantic,america-n
Canada_Great_Lakes_Upper_St_Lawrence,america-n
Canada_West_Coast,america-n
Canada_unspecified_maritime_coastal_area,america-n
United_States,america-n
United_States_North_Atlantic,america-n
United_States_South_Atlantic,america-n
United_States_Gulf,america-n
United_States_South_Pacific,america-n
United_States_North_Pacific,america-n
United_States_Great_Lakes,america-n
United_States_Puerto_Rico,america-n
Antigua_and_Barbuda,america-c
Aruba_(NL),america-c
Bahamas,america-c
Bermuda_(UK),america-c
British_Virgin_Islands_(UK),america-c
Costa_Rica,america-c
Cuba,america-c
Dominican_Republic,america-c
El_Salvador,america-c
Former_Netherlands_Antilles,america-c
Guatemala,america-c
Honduras,america-c
Jamaica,america-c
Mexico,america-c
Mexico_Atlantic,america-c
Mexico_unspecified_maritime_coastal_area,america-c
Montserrat_(UK),america-c
Nicaragua,america-c
Panama,america-c
Saint_Kitts_and_Nevis,america-c
Saint_Vincent_and_the_Grenadines,america-c
Trinidad_and_Tobago,america-c
Angola,africa-s
Equatorial_Guinea,africa-s
Gabon,africa-s
Kenya,africa-s
Madagascar,africa-s
Mozambique,africa-s
Namibia,africa-s
South_Africa,africa-s
Tanzania,africa-s
Gibraltar_(UK),africa-n
Algeria,africa-n
Benin,africa-n
Cameroon,africa-n
Congo,africa-s
C̫te_d'Ivoire,africa-n
Democratic_Republic_of_the_Congo,africa-n
Djibouti,africa-n
Egypt,africa-n
Gambia,africa-n
Ghana,africa-n
Guinea,africa-n
Liberia,africa-n
Libya,africa-n
Mauritania,africa-n
Morocco,africa-n
Morocco_Mediterranean,africa-n
Morocco_West_Africa,africa-n
Morocco_unspecified_maritime_coastal_area,africa-n
Nigeria,africa-n
Senegal,africa-n
Sierra_Leone,africa-n
Sudan,africa-n
Togo,africa-n
Tunisia,africa-n
Egypt_Mediterranean,africa-n
Egypt_Red_Sea,africa-n
