,range,ls_yr,fa_PJ,ts_Ttkm-MJ,cs_â‚¬-MJ,ef-co2-t2p_g-MJ,ef-ch4-t2p_g-MJ,refit,refit_option,tier_level,scrubber
ic_hfo_old,long,11,9.925387606357,0.009685967663109,0.008717474336764,76.0566996385326,0.00045,yes,ic_hfo_rf,0,no
ic_mdo_old,long,11,5.993756111692,0.009403721987628,0.008453866852026,74.3618661658595,0.00045,yes,ic_bdo_rf,0,yes
ic_hfo,long,25,0,0.009400090931511,0.008453866852026,75.8990676208919,0.00045,no,,3,yes
ic_mdo,long,25,0,0.009400090931511,0.008453866852026,74.3171641791045,0.00045,no,,3,yes
ic_hfo_rf,long,11,0,0.009400090931511,1.68979185566938E-05,75.8990676208919,0.00045,no,,3,yes
ic_bdo_rf,long,11,0,0.009400090931511,0,0,0.00045,no,,3,yes
ic_bdo,long,25,0,0.009400090931511,0.008453866852026,0,0.00045,no,,3,yes
ic_lng,long,25,0,0.010134838023336,0.0969781824277,54.3597117364448,0.71,no,,3,no
ic_lbg,long,25,0,0.010134838023336,0.0969781824277,0,0.79,no,,3,no
ic_h2,long,25,0,0.010134838023336,0.109294848954,0,0,no,,3,no
ic_ch3oh,long,25,0,0.010134838023336,0.109294848954,0,0.79,no,,3,no
ic_nh3,long,25,0,0.010134838023336,0.109294848954,0,0,no,,3,no
fc_lng,long,25,0,0.022472908310673,0.134802175658,54.3597117364448,0.227628331874141,no,,3,no
fc_lbg,long,25,0,0.022472908310673,0.134802175658,0,0.227628331874141,no,,3,no
fc_h2,long,25,0,0.022472908310673,0.134802175658,0,0,no,,3,no
fc_ch3oh,long,25,0,0.022472908310673,0.134802175658,0,0.227628331874141,no,,3,no
fc_nh3,long,25,0,0.022472908310673,0.134802175658,0,0,no,,3,no
em_elec,short,30,0,0.01186,1.04705471181977,0,0,no,,3,no
wind_elec,long,30,0,0.03558,2.09410942363954,0,0,no,,3,no
