,range,ls_yr,fa_MJ,ts_TtkmMJ,cs_â‚¬MJ,efco2t2p_gMJ,efch4t2p_gMJ,refit,refit_option,tier_level,scrubber
ic_hfo_old,,"UNCTAD2017, tab. 2.2","EuroStat2016, Wisdom2017",based on Kristenen2012,Rex2017,based on Kristenen2012,"Brynolf2014, tab. 3",,,IMO2008,
ic_mdo_old,,"UNCTAD2017, tab. 2.2","EuroStat2016, Wisdom2017",based on Kristenen2012,Rex2017,based on Kristenen2012,"Bengtsson2012, tab. 4",,,IMO2008,based on Kristenen2012
ic_hfo,,"UNCTAD2017, p. 27",,based on Kristenen2012,Rex2017,based on Kristenen2012,"Brynolf2014, tab. 3",,,IMO2008,based on Kristenen2012
ic_mdo,,"UNCTAD2017, p. 27",,based on Kristenen2012,Rex2017,based on Kristenen2012,"Bengtsson2012, tab. 4",,,IMO2008,based on Kristenen2012
ic_hfo_rf,,"UNCTAD2017, tab. 2.2",,same as ic_hfo,"McGill2013, p. 31",same as ic_hfo,same as ic_hfo,,,IMO2008,same as ic_hfo
ic_bdo_rf,,"UNCTAD2017, tab. 2.2 ",,same as ic_mdo,"Wisdom2017, p. 31",same as ic_bdo,same as ic_bdo,,,IMO2008,same as ic_mdo
ic_bdo,,"UNCTAD2017, p. 27",,same as mdo,same as ic_mdo,"Bengtsson2012, tab. 4","Bengtsson2012, tab. 4",,,IMO2008,same as ic_mdo
ic_lng,,"UNCTAD2017, p. 27",,based on Kristenen2012,Rex2017,based on Kristenen2012,"Brynolf2014, tab. 3",,,IMO2008,
ic_lbg,,"UNCTAD2017, p. 27",,same as ic_lng,same as ic_lng,"Bengtsson2012, tab. 4","Brynolf2014, tab. 3",,,IMO2008,
ic_h2,,"UNCTAD2017, p. 27",,same as ic_lng,same as ic_ch3oh,"Gohary2013, p. 9",,,,IMO2008,
ic_ch3oh,,"UNCTAD2017, p. 27",,same as ic_lng,Andersson2015,"Brynolf2014, tab. 3",same as ic_bdo,,,IMO2008,
ic_nh3,,"UNCTAD2017, p. 27",,same as ic_lng,same as ic_ch3oh,,,,,IMO2008,
fc_lng,,"UNCTAD2017, p. 27",,same as fc_h2,"vanBiert2016, p. 358",same as ic_lng,same as fc_ch3ho,,,IMO2008,
fc_lbg,,"UNCTAD2017, p. 27",,same as fc_h2,"vanBiert2016, p. 358",same as ic_lng,same as fc_ch3ho,,,IMO2008,
fc_h2,,"UNCTAD2017, p. 27",,"USDE2015, p. 1",same as fc_ch3oh,,,,,IMO2008,
fc_ch3oh,,"UNCTAD2017, p. 27",,same as fc_h2,"vanBiert2016, p. 358",same as ic_lng,"Brinkman2005, p. 229",,,IMO2008,
fc_nh3,,"UNCTAD2017, p. 27",,same as fc_h2,same as fc_ch3oh,,,,,IMO2008,
em_elec,"DNVGL2015, p. 24","DNVGL2015, p. 24",,"DNVGL2015, p. 24","DNVGL2015, p. 25",,,,,IMO2008,
wind_elec,,same as em_elec,,three times em_elec,double of em_elec,,,,,IMO2008,
